date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:49	88925/88925	---M--	200	added ('OK')	image/jpeg	etag:%22fe76be03f9f631a5982e7062ab500c6d-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio2_lg.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/portfolio/portfolio2_lg.jpg	(from https://davis-html.netlify.app/index2)
15:25:49	25559/25559	---M--	200	added ('OK')	image/jpeg	etag:%221859dabbfbebc7f8ca7c3f777d46fc4e-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio2.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/portfolio/portfolio2.jpg	(from https://davis-html.netlify.app/index2)
15:25:50	65975/65975	---M--	200	added ('OK')	image/jpeg	etag:%22294d143d61ad9b5c8842b5d60a3a648c-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio3_lg.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/portfolio/portfolio3_lg.jpg	(from https://davis-html.netlify.app/index2)
15:25:50	28580/28580	---M--	200	added ('OK')	image/jpeg	etag:%22f212c96a16d8c8202b0ba93293b1cd8a-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio3.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/portfolio/portfolio3.jpg	(from https://davis-html.netlify.app/index2)
15:25:51	78282/78282	---M--	200	added ('OK')	image/jpeg	etag:%22a88a4f3d5003b4d8d8ca92e8c23b9a91-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio4_lg.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/portfolio/portfolio4_lg.jpg	(from https://davis-html.netlify.app/index2)
15:25:51	16940/16940	---M--	200	added ('OK')	image/jpeg	etag:%22d071bfec1d48563b2336c29e9d34293e-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio4.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/portfolio/portfolio4.jpg	(from https://davis-html.netlify.app/index2)
15:25:52	72436/72436	---M--	200	added ('OK')	image/jpeg	etag:%22f073e7ff10e3a071b08a3d1d91e5e821-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio5_lg.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/portfolio/portfolio5_lg.jpg	(from https://davis-html.netlify.app/index2)
15:25:52	18582/18582	---M--	200	added ('OK')	image/jpeg	etag:%22f6d2c0878e04f388145883c32c35525e-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio5.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/portfolio/portfolio5.jpg	(from https://davis-html.netlify.app/index2)
15:25:53	26179/26179	---M--	200	added ('OK')	image/jpeg	etag:%22a26b3bbda2ce313eb2c6a040c7dbacec-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio6.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/portfolio/portfolio6.jpg	(from https://davis-html.netlify.app/index2)
15:25:54	129136/129136	---M--	200	added ('OK')	image/jpeg	etag:%2276703836df8880cef1d43d566d8397db-ssl%22	https://davis-html.netlify.app/assets/img/portfolio/portfolio6_lg.jpg	C:/Users/tshaj/OneDrive/Desktop/my%20port/portfolio/davis-html.netlify.app/assets/img/portfolio/portfolio6_lg.jpg	(from https://davis-html.netlify.app/index2)
